id,name,username,bio,location,url,join_date,join_time,tweets,following,followers,likes,media,private,verified,avatar,background_image
2202014756,Jonas Brothers,JonasBrothers,Please go to @jonas_ent - Jonas Enterprises - for all things Jonas.,,,18 Nov 2013,1:34 PM,0,0,0,0,0,1,0,https://abs.twimg.com/sticky/default_profile_images/default_profile_400x400.png,
4150039286,Enrique305,enrique305,This is Enrique Iglesias' old Twitter account.  You can now follow at the link below:  Este es el Twitter antiguo de Enrique Iglesias. Ya lo puedes seguir aquí:,,https://twitter.com/enriqueiglesias,6 Nov 2015,1:17 PM,1,0,5505,0,0,0,0,https://pbs.twimg.com/profile_images/689571978080948224/00c9C4Ya_400x400.jpg,https://pbs.twimg.com/profile_banners/4150039286/1453242478/1500x500
2374384477,KSS,Keshasuxx,,,,5 Mar 2014,1:39 PM,0,0,2243,0,0,0,0,https://abs.twimg.com/sticky/default_profile_images/default_profile_400x400.png,
95465386,Olly Murs,ollyofficial,New album YOU KNOW I KNOW OUT NOW⚡️,,http://smarturl.it/ykikdlxTW,8 Dec 2009,9:41 AM,20885,2993,7479574,6935,3528,0,1,https://pbs.twimg.com/profile_images/1060683904502431744/11RculXu_400x400.jpg,https://pbs.twimg.com/profile_banners/95465386/1541721708/1500x500
23832022,Rev Run,RevRunWisdom,"Pls don't be offended if I don't reply or follow u, But I Love you!",Worldwide ,http://globalgrind.com/revrun/,11 Mar 2009,2:18 PM,19642,0,4281069,21,559,0,1,https://pbs.twimg.com/profile_images/1163695042/Mr._Simmons_3A_400x400.jpg,
40981798,hayley from Paramore,yelyahwilliams,i feel nice when i start to sing / and i can see / everyone else is like me. 🗣🗣🗣🗣🗣🗣🗣🗣 @paramore @goodDYEyoung,"Nashville, TN",http://paramore.net,18 May 2009,3:08 PM,37554,667,5215472,33321,2119,0,1,https://pbs.twimg.com/profile_images/1044029378571784193/8l9R_Tov_400x400.jpg,https://pbs.twimg.com/profile_banners/40981798/1492286454/1500x500
24963961,Ozzy Osbourne,OzzyOsbourne,The Prince of Darkness,,http://www.ozzy.com,17 Mar 2009,2:56 PM,4450,78,5269153,978,1799,0,1,https://pbs.twimg.com/profile_images/961022056631447552/Ywh6u5UM_400x400.jpg,https://pbs.twimg.com/profile_banners/24963961/1517960489/1500x500
17681513,Yoko Ono,yokoono,"IMAGINE PEACE: Think PEACE, Act PEACE, Spread PEACE.",New York,http://IMAGINEPEACE.com,27 Nov 2008,8:06 AM,12130,918362,4793782,142,2032,0,1,https://pbs.twimg.com/profile_images/1021789344498114560/YeMsYjg9_400x400.jpg,https://pbs.twimg.com/profile_banners/17681513/1542020746/1500x500
24989174,PITTY,Pitty,⚡️ cantora & compositora + ∞ ⚡️ ... nova turnê #Matriz na estrada  // shows: contato@pitty.com.br. // assista o NOVO CLIPE #TeConecta 👇,"Venus In Furs, SP",http://bit.ly/AssistaTeConecta,17 Mar 2009,5:18 PM,11911,143,8688144,2958,665,0,1,https://pbs.twimg.com/profile_images/1009109366656716800/sdhs_a6q_400x400.jpg,https://pbs.twimg.com/profile_banners/24989174/1532974645/1500x500
43132532,[+] Fiuk,Fiuk,ator e cantor facebook: fiukoficial /// snapchat: eumesmofiuk /// instagram: fiuk /// contato: piny@pinymontoro.com.br [+],,http://www.youtube.com/eumesmofiuk,28 May 2009,8:38 AM,19436,565,5275595,10618,1111,0,1,https://pbs.twimg.com/profile_images/1029875323725328385/FN5dt68Z_400x400.jpg,https://pbs.twimg.com/profile_banners/43132532/1491449208/1500x500
816335203069267968,"Sean ""Diddy"" Combs",iamDiddy,I've moved my twitter account to @Diddy please follow and tweet me there!,,,3 Jan 2017,9:27 AM,0,0,4577,0,0,0,0,https://pbs.twimg.com/profile_images/820010882919002112/a3MjFrvp_400x400.jpg,
95955871,Guns N' Roses,gunsnroses,The official Guns N' Roses Twitter account | #AppetiteForDestruction: Remastered and Expanded now available worldwide!,,https://www.gunsnroses.com/appetitefordestruction,10 Dec 2009,10:28 AM,7948,41,6209457,1359,2326,0,1,https://pbs.twimg.com/profile_images/885491686327169024/ufh03Wmg_400x400.jpg,https://pbs.twimg.com/profile_banners/95955871/1531779863/1500x500
33873560,Sherina Sinna,sherinasinna,Musician and Freethinker from Indonesia,,http://www.sherinamunaf.com,21 Apr 2009,4:10 AM,11,182,10786718,28,519,0,1,https://pbs.twimg.com/profile_images/834825276454432768/_kGQdUQg_400x400.jpg,https://pbs.twimg.com/profile_banners/33873560/1377673035/1500x500
29749448,CHAYANNE,CHAYANNEMUSIC,Twitter oficial de Chayanne®,"Miami, Florida",http://www.chayanne.com,8 Apr 2009,9:09 AM,4775,966,9278855,1193,746,0,1,https://pbs.twimg.com/profile_images/989531886459355136/4ihSD4z-_400x400.jpg,https://pbs.twimg.com/profile_banners/29749448/1524756797/1500x500
763387042772516864,Liam,Real_Liam_Payne,,,,10 Aug 2016,7:50 AM,0,0,3895,0,0,0,0,https://abs.twimg.com/sticky/default_profile_images/default_profile_400x400.png,
23065354,Mac,MacMiller,Swimming is available now.,,http://macmillerswebsite.com,6 Mar 2009,5:52 AM,229,1310,8710573,2969,374,0,1,https://pbs.twimg.com/profile_images/1035265948192653312/4WYg4YiA_400x400.jpg,https://pbs.twimg.com/profile_banners/23065354/1535661583/1500x500
94339403,Afgan,afgansyah_reza,"Indonesian singer-songwriter/ follow my instagram, afgansyah.reza",Indonesia,http://www.afganofficial.com,3 Dec 2009,6:27 AM,11751,582,9898936,2,1417,0,1,https://pbs.twimg.com/profile_images/970584693623087104/bU5wfv11_400x400.jpg,https://pbs.twimg.com/profile_banners/94339403/1537351216/1500x500
24852465,Carly Rae Jepsen,carlyraejepsen,#PartyForOne,,http://smarturl.it/CRJPartyForOne,17 Mar 2009,12:10 AM,6718,82636,10413390,2143,1407,0,1,https://pbs.twimg.com/profile_images/1057656824860565505/Lz1STpOi_400x400.jpg,https://pbs.twimg.com/profile_banners/24852465/1541078192/1500x500
17915334,Sean Don,BigSean,,,http://uknowbigsean.com,5 Dec 2008,7:17 PM,20269,2215,14601763,15559,1657,0,1,https://pbs.twimg.com/profile_images/1059807925932298241/NVJP2ZAD_400x400.jpg,https://pbs.twimg.com/profile_banners/17915334/1541512875/1500x500
17549677,Ricardo Arjona ®,Ricardo_Arjona,Los enemigos que genera la independencia valen mas que los amigos que genera la subordinación.,,https://youtu.be/ipQDYlxpgXA,21 Nov 2008,4:40 PM,3766,35,10446118,45,1414,0,1,https://pbs.twimg.com/profile_images/1026664913484304384/Kz-tXWvH_400x400.jpg,https://pbs.twimg.com/profile_banners/17549677/1541176293/1500x500
209994211,Cher Lloyd,CherLloyd,⚡️NONE OF MY BUSINESS ⚡️ - OUT NOW!,,https://Cher-Lloyd.lnk.to/NoneOfMyBusinessTW,30 Oct 2010,2:56 AM,6004,10701,7241857,885,433,0,1,https://pbs.twimg.com/profile_images/1053058311686418432/wX3BUh_b_400x400.jpg,https://pbs.twimg.com/profile_banners/209994211/1539903637/1500x500
104974333,Juan Luis Guerra,JuanLuisGuerra,Bienvenidos a la página Oficial de Juan Luis Guerra en Twitter.,"Santo Domingo, RD",http://vevo.ly/UH0Umt,14 Jan 2010,3:52 PM,1327,63,7777780,641,682,0,1,https://pbs.twimg.com/profile_images/989149988935610368/90EeytT5_400x400.jpg,https://pbs.twimg.com/profile_banners/104974333/1524667683/1500x500
40908929,Usher Raymond IV,Usher,,,http://usheratl.com,18 May 2009,9:36 AM,5783,569,12373736,1208,1583,0,1,https://pbs.twimg.com/profile_images/1050389544212676608/sebBF3sQ_400x400.jpg,https://pbs.twimg.com/profile_banners/40908929/1539267341/1500x500
3291087656,Calle13Oficial,Calle13Oficial,,,,24 Jul 2015,1:58 PM,0,7,1889,0,0,0,0,https://abs.twimg.com/sticky/default_profile_images/default_profile_400x400.png,
19691643,LMFAO,LMFAO,Sorry For Party Rocking..... Ya B*tch!!,Hollywood,http://www.partyrockpeople.com,28 Jan 2009,6:32 PM,5785,0,7531130,277,529,0,1,https://pbs.twimg.com/profile_images/965710744431054848/xDYp6WTr_400x400.jpg,
25421094,AKON,Akon,Official Twitter page for AKON. Booking and Media info@Akon.com,Worldwide,http://akon.com,19 Mar 2009,5:35 PM,886,34,6402573,692,435,0,1,https://pbs.twimg.com/profile_images/1029193158830088192/MdOE9qeE_400x400.jpg,https://pbs.twimg.com/profile_banners/25421094/1534213746/1500x500
46769281,Gucci Mane,gucci1017,"Major Label Recording Artist, signed to Atlantic Records. | wizopbooking@gmail.com",EAST ATLANTA,https://guccimane.lnk.to/WakeUpInTheSkyTA,12 Jun 2009,3:52 PM,19462,1,6798181,11271,1876,0,1,https://pbs.twimg.com/profile_images/1040455294076116992/mg7TIkvu_400x400.jpg,https://pbs.twimg.com/profile_banners/46769281/1536898817/1500x500
39203045,Residente,Residente,René Pérez Joglar http://Instagram.com/residente  https://www.facebook.com/residente ,Puerto Rico / Argentina,http://www.residente.com,10 May 2009,11:01 PM,29224,1708,5782157,2151,4881,0,1,https://pbs.twimg.com/profile_images/1047989941446295552/dc5V0IVp_400x400.jpg,https://pbs.twimg.com/profile_banners/39203045/1538695248/1500x500
1585895702,lily,LilyRoseCooper,,,,11 Jul 2013,6:41 AM,1,10,274,0,0,0,0,https://abs.twimg.com/sticky/default_profile_images/default_profile_400x400.png,
